feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,target
f10,f20,f30,f40,f50,f60,item0,item0,item1
f11,f20,f31,f41,f51,f60,item0,item0,item1
f11,f20,f31,f41,f51,f60,item1,item0,item2
f11,f20,f31,f41,f51,f60,item2,item1,item3
f11,f20,f31,f41,f51,f60,item3,item2,item4
f11,f20,f31,f41,f51,f60,item4,item3,item5
f11,f20,f31,f41,f51,f60,item5,item4,item3
f11,f20,f31,f41,f51,f60,item3,item5,item4
f11,f20,f31,f41,f51,f60,item4,item3,item3
f11,f20,f31,f41,f51,f60,item3,item4,item4
f11,f20,f31,f41,f51,f60,item4,item3,item6
f11,f20,f31,f41,f51,f60,item6,item4,item3
f11,f20,f31,f41,f51,f60,item3,item6,item7
f11,f20,f31,f41,f51,f60,item7,item3,item7
f11,f20,f31,f41,f51,f60,item7,item7,item7
f12,f20,f32,f42,f52,f60,item0,item0,item8
f12,f20,f32,f42,f52,f60,item8,item0,item9
f12,f20,f32,f42,f52,f60,item9,item8,item8
f12,f20,f32,f42,f52,f60,item8,item9,item8
f12,f20,f32,f42,f52,f60,item8,item8,item10
f12,f20,f32,f42,f52,f60,item10,item8,item10
f12,f20,f32,f42,f52,f60,item10,item10,item8
f13,f20,f33,f43,f53,f60,item0,item0,item11
f13,f20,f33,f43,f53,f60,item11,item0,item12
f13,f20,f33,f43,f53,f60,item12,item11,item13
f13,f20,f33,f43,f53,f60,item13,item12,item13
f13,f20,f33,f43,f53,f60,item13,item13,item11
f13,f20,f33,f43,f53,f60,item11,item13,item12
f14,f20,f34,f44,f54,f60,item0,item0,item14
f14,f20,f34,f44,f54,f60,item14,item0,item3
f15,f20,f35,f45,f55,f60,item0,item0,item15
f15,f20,f35,f45,f55,f60,item15,item0,item1
f15,f20,f35,f45,f55,f60,item1,item15,item15
f15,f20,f35,f45,f55,f60,item15,item1,item1
f15,f20,f35,f45,f55,f60,item1,item15,item16
f15,f20,f35,f45,f55,f60,item16,item1,item15
f15,f20,f35,f45,f55,f60,item15,item16,item1
f15,f20,f35,f45,f55,f60,item1,item15,item15
f15,f20,f35,f45,f55,f60,item15,item1,item15
f15,f20,f35,f45,f55,f60,item15,item15,item17
f15,f20,f35,f45,f55,f60,item17,item15,item17
f15,f20,f35,f45,f55,f60,item17,item17,item17
f15,f20,f35,f45,f55,f60,item17,item17,item2
f15,f20,f35,f45,f55,f60,item2,item17,item1
f15,f20,f35,f45,f55,f60,item1,item2,item2
f15,f20,f35,f45,f55,f60,item2,item1,item1
f15,f20,f35,f45,f55,f60,item1,item2,item1
f15,f20,f35,f45,f55,f60,item1,item1,item15
f15,f20,f35,f45,f55,f60,item15,item1,item1
f15,f20,f35,f45,f55,f60,item1,item15,item2
f15,f20,f35,f45,f55,f60,item2,item1,item2
f15,f20,f35,f45,f55,f60,item2,item2,item1
f15,f20,f35,f45,f55,f60,item1,item2,item2
f15,f20,f35,f45,f55,f60,item2,item1,item1
f15,f20,f35,f45,f55,f60,item1,item2,item1
f15,f20,f35,f45,f55,f60,item1,item1,item15
f15,f20,f35,f45,f55,f60,item15,item1,item1
f15,f20,f35,f45,f55,f60,item1,item15,item15
f15,f20,f35,f45,f55,f60,item15,item1,item18
f15,f20,f35,f45,f55,f60,item18,item15,item19
f15,f20,f35,f45,f55,f60,item19,item18,item20
f15,f20,f35,f45,f55,f60,item20,item19,item1
f15,f20,f35,f45,f55,f60,item1,item20,item15
f15,f20,f35,f45,f55,f60,item15,item1,item20
f15,f20,f35,f45,f55,f60,item20,item15,item21
f15,f20,f35,f45,f55,f60,item21,item20,item17
f15,f20,f35,f45,f55,f60,item17,item21,item15
f15,f20,f35,f45,f55,f60,item15,item17,item21
f15,f20,f35,f45,f55,f60,item21,item15,item20
f15,f20,f35,f45,f55,f60,item20,item21,item20
f15,f20,f35,f45,f55,f60,item20,item20,item15
f15,f20,f35,f45,f55,f60,item15,item20,item15
f15,f20,f35,f45,f55,f60,item15,item15,item21
f15,f20,f35,f45,f55,f60,item21,item15,item1
f15,f20,f35,f45,f55,f60,item1,item21,item15
f15,f20,f35,f45,f55,f60,item15,item1,item20
f15,f20,f35,f45,f55,f60,item20,item15,item21
f15,f20,f35,f45,f55,f60,item21,item20,item21
f15,f20,f35,f45,f55,f60,item21,item21,item22
f15,f20,f35,f45,f55,f60,item22,item21,item23
f15,f20,f35,f45,f55,f60,item23,item22,item2
f15,f20,f35,f45,f55,f60,item2,item23,item1
f15,f20,f35,f45,f55,f60,item1,item2,item1
f15,f20,f35,f45,f55,f60,item1,item1,item2
f15,f20,f35,f45,f55,f60,item2,item1,item18
f15,f20,f35,f45,f55,f60,item18,item2,item21
f15,f20,f35,f45,f55,f60,item21,item18,item24
f15,f20,f35,f45,f55,f60,item24,item21,item23
f15,f20,f35,f45,f55,f60,item23,item24,item1
f15,f20,f35,f45,f55,f60,item1,item23,item2
f15,f20,f35,f45,f55,f60,item2,item1,item25
f15,f20,f35,f45,f55,f60,item25,item2,item7
f15,f20,f35,f45,f55,f60,item7,item25,item15
f15,f20,f35,f45,f55,f60,item15,item7,item26
f15,f20,f35,f45,f55,f60,item26,item15,item27
f15,f20,f35,f45,f55,f60,item27,item26,item27
f15,f20,f35,f45,f55,f60,item27,item27,item28
f15,f20,f35,f45,f55,f60,item28,item27,item29
f15,f20,f35,f45,f55,f60,item29,item28,item28
f15,f20,f35,f45,f55,f60,item28,item29,item29
f15,f20,f35,f45,f55,f60,item29,item28,item30
f15,f20,f35,f45,f55,f60,item30,item29,item31
f15,f20,f35,f45,f55,f60,item31,item30,item15
f15,f20,f35,f45,f55,f60,item15,item31,item1
f15,f20,f35,f45,f55,f60,item1,item15,item32
f15,f20,f35,f45,f55,f60,item32,item1,item15
f15,f20,f35,f45,f55,f60,item15,item32,item1
f15,f20,f35,f45,f55,f60,item1,item15,item18
f15,f20,f35,f45,f55,f60,item18,item1,item25
f15,f20,f35,f45,f55,f60,item25,item18,item2
f15,f20,f35,f45,f55,f60,item2,item25,item21
f15,f20,f35,f45,f55,f60,item21,item2,item24
f15,f20,f35,f45,f55,f60,item24,item21,item21
f15,f20,f35,f45,f55,f60,item21,item24,item33
f15,f20,f35,f45,f55,f60,item33,item21,item21
f15,f20,f35,f45,f55,f60,item21,item33,item20
f15,f20,f35,f45,f55,f60,item20,item21,item34
f15,f20,f35,f45,f55,f60,item34,item20,item2
f15,f20,f35,f45,f55,f60,item2,item34,item27
f15,f20,f35,f45,f55,f60,item27,item2,item28
f15,f20,f35,f45,f55,f60,item28,item27,item18
f15,f20,f35,f45,f55,f60,item18,item28,item31
f15,f20,f35,f45,f55,f60,item31,item18,item15
f15,f20,f35,f45,f55,f60,item15,item31,item15
f15,f20,f35,f45,f55,f60,item15,item15,item31
f15,f20,f35,f45,f55,f60,item31,item15,item31
f15,f20,f35,f45,f55,f60,item31,item31,item35
f16,f20,f36,f46,f56,f60,item0,item0,item36
f16,f20,f36,f46,f56,f60,item36,item0,item36
f16,f20,f36,f46,f56,f60,item36,item36,item36
f16,f20,f36,f46,f56,f60,item36,item36,item16
f16,f20,f36,f46,f56,f60,item16,item36,item26
f16,f20,f36,f46,f56,f60,item26,item16,item37
f16,f20,f36,f46,f56,f60,item37,item26,item38
f16,f20,f36,f46,f56,f60,item38,item37,item39
f16,f20,f36,f46,f56,f60,item39,item38,item38
f16,f20,f36,f46,f56,f60,item38,item39,item36
f16,f20,f36,f46,f56,f60,item36,item38,item38
f16,f20,f36,f46,f56,f60,item38,item36,item37
f16,f20,f36,f46,f56,f60,item37,item38,item39
f16,f20,f36,f46,f56,f60,item39,item37,item38
f16,f20,f36,f46,f56,f60,item38,item39,item38
f16,f20,f36,f46,f56,f60,item38,item38,item39
f16,f20,f36,f46,f56,f60,item39,item38,item37
f16,f20,f36,f46,f56,f60,item37,item39,item38
f16,f20,f36,f46,f56,f60,item38,item37,item40
f16,f20,f36,f46,f56,f60,item40,item38,item16
f16,f20,f36,f46,f56,f60,item16,item40,item15
f16,f20,f36,f46,f56,f60,item15,item16,item20
f16,f20,f36,f46,f56,f60,item20,item15,item37
f16,f20,f36,f46,f56,f60,item37,item20,item36
f16,f20,f36,f46,f56,f60,item36,item37,item37
f16,f20,f36,f46,f56,f60,item37,item36,item11
f16,f20,f36,f46,f56,f60,item11,item37,item36
f16,f20,f36,f46,f56,f60,item36,item11,item41
f16,f20,f36,f46,f56,f60,item41,item36,item26
f16,f20,f36,f46,f56,f60,item26,item41,item26
f16,f20,f36,f46,f56,f60,item26,item26,item3
f16,f20,f36,f46,f56,f60,item3,item26,item42
f16,f20,f36,f46,f56,f60,item42,item3,item7
f16,f20,f36,f46,f56,f60,item7,item42,item4
f16,f20,f36,f46,f56,f60,item4,item7,item43
f16,f20,f36,f46,f56,f60,item43,item4,item20
